Item,Brand,Seller,Category,Price,Ratings,URLId
Apple iPhone 12 Pro Max,Apple,Apple,Smartphones ,1938.65,369,1
Apple iPhone 13 Pro,Apple,Apple,Smartphones ,1649.0,79,2
   Apples iPhones 13 Pro  13 Pro Max  Global Version HK Spec  ,No Brand,ALPHA TELECOM,Smartphones ,1799.0,2,3
Apples iPhones 13 Pro Max  128 256 512 1TB ,No Brand,ATT Technology,Smartphones ,2559.0,0,4
Samsung Galaxy Z Fold3 5G,Samsung,Samsung,Smartphones ,2298.0,43,5
Samsung Galaxy S21 Ultra 5G,Samsung,Samsung,Smartphones ,1498.0,99,6
Samsung Galaxy S21 Ultra 5G,Samsung,Singtel Flagship Store,Smartphones ,1798.0,0,7
   Samsung Galaxy S21 Ultra 5G   1 Year Local Samsung Warranty,Samsung,mosimosi,Smartphones ,1299.0,43,8
HUAWEI Mate 40 Pro 5G  6 76 inches OLED   8GB RAM   256GB ROM   50MP Triple Camera   4400mAh Battery    Launch 12 Dec,Huawei,BELLS,Smartphones ,1298.0,0,9
Huawei Mate 40 Pro 5G 8 256  Huawei SG Warranty ,Huawei,Inno Shop,Smartphones ,1208.0,0,10
Huawei Mate 40 Pro 5G  8 128 8 256 8 512,Huawei,Inno Shop,Smartphones ,1778.0,2,11
Apple MacBook Air 13 inch  Apple M1 chip with 8 core CPU and 7 core GPU  256GB,Apple,Apple,Laptops,1398.0,146,12
Apple MacBook Air 13 inch  Apple M1 chip with 8 core CPU and 8 core GPU  512GB,Apple,Apple,Laptops,1799.0,67,13
Apples Macbooks Air M1 chip with 8 core CPU and 7 core GPU 256GB   512GB  13 3 inch Retina  Apples warranty,No Brand,E Nation,Laptops,1729.0,0,14
   Acer Aspire 5 A515 45 R3XU R0SQ 15 6 Inches FHD IPS Laptop 8GB RAM   512GB SSD,Acer,Acer,Laptops,1098.0,7,15
 Express Delivery  Acer Aspire 5 A514 54   14  FHD IPS   Intel i5 1135G7   8GB DDR4   512GB SSD   Iris Xe Graphics   2Y AcerWarranty   A514 54 517H  BLU  A514 54 5126  PNK   A514 54 50N7  GLD ,Acer,ATRiX Aurora Computer,Laptops,928.0,2,16
Acer Aspire 5 A514 54G 54J1  Silver    14  FHD IPS Laptop with Latest 11th Gen i5 1135G7 Processor and NVIDIA MX350 Graphic,Acer,Pasar Malam Corner,Laptops,1148.0,0,17
    Acer Aspire 5 A515 56G 586Y   15 6  FHD NEW 11th Gen i5 1135G7   8GB  512GB SSD  NVIDIA MX350 Graphics  WIN10  2years warranty by Acer,Acer,DYNACORE LAPTOP MALL,Laptops,979.0,0,18
    AMD Ryzen 5000 Series  Acer Aspire 5 A515 45 R5NH 15 6 Inches FHD IPS Laptop   Ryzen 5 5500U Processor   16GB RAM,Acer,neosin,Laptops,998.0,0,19
  ASUS ZenBook 14 UX425EA KI420T 1 17Kg   14inch FHD 100  sRGB 300nits   16GB DDR4X RAM   i7 1165G7   Iris Xáµ‰ Graphics   Win10 Home   2Yr ASUS Warranty   UX425 UX425JA Zenbook 14,ASUS,ATRiX Aurora Computer,Laptops,1693.0,81,20
 display clearance  Asus ZenBook 14    UM425IA AM048T   Pine Grey   Ryzen 7 4700U   16GB RAM   512GB SSD   Windows 10 Home   1 22kg   14 inch Laptop   WIFI 6   2 yr,ASUS,TRADENSYNC,Laptops,1299.0,0,21
  ASUS ZenBook 14 UX435EG K9172T   Intel Core i7 1165G7 Processor   16GB RAM   1TB PCIe SSD   NVIDIA GeForce MX450 Graphics 2GB GDDR6   Windows 10 Home   2 Years International Warranty   Ultralight  New Laptop,ASUS,On-Smart,Laptops,1998.0,0,22
ASUS ZenBook 14 UX425EA KI420T   i7 1165G7   16GB RAM   512GB SSD   1 17Kg,ASUS,Orasys,Laptops,1698.0,0,23
Lenovo Yoga Slim 7 Pro   82MS0017SB   Light Silver   AMD Ryzen 9 5900HX  8C   16T  3 3   4 6GHz    14  2 8K  2880x1800  IPS   16GB DDR4X   512GB SSD   Win10 Home   2Y ADP,Lenovo,Lenovo,Laptops,1799.1000000000001,1,24
Lenovo Yoga Slim 7i Pro 14ITL5   82FX003MSB   14inch 2 8K IPS 400nits   intel core i7 1165G7   16GB RAM   1TB SSD   GeForce MX450   2Y ADP Warranty,Lenovo,Lenovo,Laptops,1799.0,0,25
  Lenovo Yoga Slim 7 Pro  82MS0017SB  Bundle MS Office 1 32Kg  AMD Ryzen 9 5900HX   14inch 2 8K  2880x1800  90Hz  100  sRGB  Dolby Vision   16GB DDR4 3200   512GB SSD  WIFI6 AX   Radeon Graphics   61Wh Battery   2Y ADP,Lenovo,ATRiX Aurora Computer,Laptops,1899.0,46,26
 Refurbished  High End Lenovo Yoga Series   IdeaPad Slim 7 Pro Carbon   Yoga 6   Yoga 7i   AMD Ryzen   Intel i5   i7   Windows 10,Lenovo,Casterly Laptops,Laptops,1399.0,0,27
   PRISM  Q55 Quantum Edition   4K Android TV   55 inch   Quantum Colors   Google Playstore   Inbuilt Chromecast   HDR10   IPS Panel   ZeroBezel   4K Netflix   Youtube   Dolby Audio   DTS TruSurround   Digital TV   Wifi,Prism+,PrismPlus,Smart Televisions,799.0,2189,28
    Xiaomi TV   P1 55 inch 4K UHD   Android 10 Smart TV   Hands free Google Assistant   Voice Search   HDR10    Netflix   Youtube   Stereo Speakers  Official Warranty ,Xiaomi,Xiaomi,Smart Televisions,806.55,140,29
    Pre order  Samsung 43  AU7000 UHD 4K Smart TV  2021  4 Ticks   36 Months Warranty  Ship from 9th November 2021 ,Samsung,Samsung Brand Store,Smart Televisions,799.0,0,30
    Ready Stock Mi TV 4S Global Edition 55inch   65inch Mi Android Smart TV    1 Year Warranty   L55M5 5ASP   L65M5 5ASP   Energy Efficiency 4 Ticks,MI,techliving,Smart Televisions,1024.0,5,31
   LG FV1409S4W 9KG AI Direct Drive Front Load Washing Machine   Free Delivery   Free Installation   Free Disposal,LG,LG,Washing Machines,1069.0,12,32
   LG FV1450S2K 10 5KG AI Direct Drive Front Load Washing Machine   Free Fiji Detergent Bundle   Free Delivery   Free Installation   Free Disposal,LG,LG,Washing Machines,1569.0,2,33
   Samsung EcoBubble   Washing Machine  9Kg  Washer Dryer  4 Ticks WD90T634DBN SP,Samsung,Samsung Brand Store,Washing Machines,1179.0,1,34
   Samsung EcoBubble   Washing Machine  8Kg  Front Load  4 Ticks WW80T534DTT SP,Samsung,Samsung Brand Store,Washing Machines,899.0,0,35
   Midea  NEW 7kg Premium Washer with Spa Care QuickWash and Drum Clean K Series Front Load Washing Machine  MFK768W ,Midea,Midea,Washing Machines,499.0,7,36
MIDEA MF768W 7KG FRONT LOAD WASHING MACHINE,Midea,Asia Excel Pte Ltd,Washing Machines,409.0,58,37
ELECTROLUX EWF8025CQWA 8KG ULTIMATECARE  500 FRONT LOAD WASHING MACHINE,Electrolux,Asia Excel Pte Ltd,Washing Machines,799.0,32,38
ELECTROLUX EWF1042BDWA 10KG ULTIMATECARE  800 FRONT LOAD WASHING MACHINE,Electrolux,Asia Excel Pte Ltd,Washing Machines,1488.0,9,39
   Samsung SpaceMax   Refrigerator Side by Side  647L  Energy Rating 2 Ticks RS62R5004B4 SS   Fridge,Samsung,Samsung Brand Store,Refrigerators,1899.0,1,40
   Samsung RT35K553ASL SS Top Freezer Refrigerator  362L ,Samsung,Parisilk,Refrigerators,909.0,4,41
   Samsung Twin Cooling Plus   Refrigerator Top Mount Freezer  500L  Energy Rating 3 Ticks RT50K6257B1 SS   Fridge,Samsung,Samsung Brand Store,Refrigerators,1399.0,0,42
SAMSUNG RS64R5304B4 617L SPACEMAX SIDE BY SIDE FRIDGE  2 TICKS   NON PLUMB ,Samsung,Mega Discount Store,Refrigerators,2398.0,1,43
      LG GB B4059MT Inverter Linear Compressor 408L Bottom Freezer Refrigerator with DoorCooling   Matt Black   Free  50 Grocery Voucher   Free Delivery   Free Installation   Free Disposal   Ship from  22 Oct ,LG,LG,Refrigerators,1639.0,2,44
   LG GT M5967BL 592L 2 DOOR FRIDGE  3 TICKS ,LG,Mega Discount Store,Refrigerators,2459.0,0,45
   LG GT B3127PZ Inverter Linear Compressor 312L Top Freezer Refrigerator with Door Cooling   Platinum Silver   Free Delivery   Free Installation   Free Disposal,LG,LG,Refrigerators,869.0,2,46
Nikon Camera DSLR D5600 18 140mm VR Kit Lens DX Format  Free gift worth  130,Nikon,Nikon,DSLR,1369.0,1,47
Canon EOS 4000D EF S 18 55 III,Canon,SSI Pte Ltd,DSLR,500.0,37,48
Nikon D5600   18 55mm VR Kit Black ,Nikon,Photozy Cameras,DSLR,999.0,55,50
   Nikon D3500 Kit with 18 55mm DSLR Camera  Free Bag ,Nikon,Shuttercam,DSLR,731.0,5,51
Canon EOS 90D Body Only,Canon,Photozy Cameras,DSLR,1579.0,1,52
NIKON D500 KIT  16 80MM  20 9 MEGAPIXELS DSLR DX CAMERA WITH 16 80MM LENS,Nikon,FEPL,DSLR,3228.0,0,53
   Nikon D7500 Body DSLR Camera  Free Bag ,Nikon,Shuttercam,DSLR,1159.0,1,54
Canon EOS 200D II   EF S 18 55mm IS STM,Canon,Photozy Cameras,DSLR,899.0,0,55
Canon EOS 90D DSLR Camera with 18 135mm Lens  Free 64GB SDXC   Camera Bag ,Canon,Click Cameras,DSLR,2250.0,0,56
 Laptop promotion  Microsoft Surface Go 2,Microsoft,Microsoft,Laptops,618.0,108,57
SPIGEN Case for iPhone 13 Pro  Thin Fit  All Around Coverage with Same Thinness   iPhone 13 Pro Case   iPhone 13 Pro Casing   iPhone 13 Pro Cover,Spigen,Spigen,Mobile Accessories,31.0,14,58
No Brand Chocochip Cookies,No Brand,RedMart,"Chocolate, Snacks & Sweets",5.9,196,60
Pokka Jasmine Green Tea  24 x 250ml    Case,pokka,RedMart,Drinks,9.8,4684,61
Master Grocer Australia Ribeye Sukiyaki   Frozen,Master Grocer,RedMart,Frozen,10.95,0,63
Pan s Meat Beef Minced   Frozen,Pan's Meat,RedMart,Frozen,5.5,26,64
